1007,2
1024,1
1029,4
1052,4
1077,1
1093,4
1111,3
1118,2
1119,3
1158,3
1188,2
1215,1
1247,2
1255,4
1257,2
1308,4
1331,3
1395,2
1407,3
1425,3
1453,4
1464,2
1511,2
1603,4
1624,1
1635,2
1637,4
1638,1
1662,3
1664,4
1702,4
1716,4
1737,2
1830,2
1832,4
1864,3
1898,2
1923,3
1950,3
1951,4
2023,4
2065,4
2132,1
2147,3
2168,3
2260,2
2282,1
2337,1
2369,3
2381,2
2406,3
2413,3
2449,1
2465,4
2470,1
2479,3
2567,1
2613,3
2618,3
2619,3
2663,1
2738,4
2748,3
2757,3
2801,3
2839,3
2937,3
2958,3
3030,3
3060,4
3129,3
3134,2
3141,1
3180,4
3229,1
3272,2
3294,1
3347,2
3360,1
3364,4
3366,3
3371,4
3555,3
3562,3
3584,2
3612,2
3636,2
3639,1
3644,1
3678,2
3687,1
3688,1
3714,4
3728,3
3733,2
3812,2
3824,2
3836,3
3838,4
3849,4
3868,2
3878,3
3905,1
3931,4
3974,1
3994,2
4020,3
4113,1
4146,1
4158,2
4194,1
4199,2
4208,2
4223,3
4238,4
4289,4
4292,4
4296,2
4318,2
4360,3
4385,1
4390,1
4457,2
4458,3
4486,2
4656,4
4690,4
4711,1
4717,1
4774,4
4785,3
4797,3
4861,3
4920,1
4922,1
4949,3
4971,3
5064,1
5157,3
5191,1
5230,1
5247,2
5358,4
5359,3
5360,4
5395,2
5465,1
5502,1
5514,1
5519,1
5552,4
5588,3
5644,1
5645,2
5648,4
5654,2
5680,4
5698,4
5734,2
5813,3
5819,1
5828,1
5845,4
5871,4
5873,1
5928,2
5939,4
5952,1
5995,1
6012,4
6047,3
6054,2
6057,2
6079,1
6120,1
6128,3
6163,3
6177,2
6203,1
6206,3
6268,2
6325,2
6352,2
6379,1
6396,1
6426,1
6462,2
6486,3
6495,4
6539,1
6580,2
6582,2
6644,1
6655,4
6704,1
6723,3
6741,2
6882,4
6890,1
6924,2
6925,4
6947,4
7007,3
7025,2
7035,3
7110,3
7125,1
7201,3
7278,4
7285,4
7323,3
7345,2
7379,4
7384,4
7413,3
7427,1
7451,3
7470,1
7498,3
7599,2
7605,4
7610,1
7616,1
7638,2
7644,4
7653,4
7694,3
7725,4
7756,3
7766,3
7805,3
7818,1
7854,3
7878,4
7886,2
7925,4
8011,1
8026,4
8043,4
8064,3
8065,2
8104,3
8117,4
8123,2
8179,2
8205,2
8238,4
8374,1
8407,3
8443,2
8517,3
8522,4
8539,1
8548,2
8593,3
8679,1
8714,4
8725,3
8760,2
8787,2
8790,4
8792,4
8805,2
8845,1
8852,4
8889,3
8908,3
8932,1
9015,3
9016,3
9019,2
9033,4
9059,4
9128,2
9134,1
9206,1
9237,4
9254,1
9274,1
9304,4
9366,2
9376,2
9397,3
9441,2
9469,1
9473,3
9491,2
9549,4
9552,2
9575,2
9644,1
9694,4
9703,2
9766,2
9769,3
9771,2
9820,2
9821,1
9881,4
9923,4
9951,3
